catalyst_name,catalyst_composition_available,starting_material_active_1,active_comp_1,active_1_percent,starting_material_2,active_comp_2,active_2_percent,support_comp_1,support_1_percent,support_comp_2,support_2_percent,catalyst_surface_area_m2_g,mean_pore_diameter_nm,temperature_k,pressure_bar,pH2_pCO2_ratio,GHSV_nlph_gcat,catalyst_load_g,CO2_conversion,selectivity_CH3OH,yield_CH3OH,STY_g_per_gcath
1% Pd/ZnO SI,Yes,PdCl2,Pd,1,,,ZnO,99,,,523.15,20,3,3.6,0.5,1.7,76,1.292,,,,
1% Pd/ZnO IM,Yes,PdCl2,Pd,1,,,ZnO,99,,,523.15,20,3,3.6,0.5,3.2,22,0.704,,,,
5% Pd/ZnO SI,Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,10.7,60,6.42,,,,
5% Pd/ZnO IM,Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,8.7,1,0.087,,,,
5% Pd/ZnO SI (calcined 250C),Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,10.8,60,6.48,,,,
5% Pd/ZnO SI (calcined 400C),Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,11.1,59,6.549,,,,
5% Pd/ZnO SI (calcined 500C),Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,10.3,54,5.562,,,,
5% Pd/ZnO SI (calcined 700C),Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,7.2,22,1.584,,,,
5% Pd/ZnO IM (calcined 500C),Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,8.5,1,0.085,,,,
5% Pd/ZnO IM (reduced 150C),Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,0,0,0,,,,
5% Pd/ZnO IM (reduced 250C),Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,4.5,0,0,,,,
5% Pd/ZnO IM (reduced 550C),Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,9.5,0,0,,,,
5% Pd/ZnO IM (reduced 700C),Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,0.7,26,0.182,,,,
5% Pd/ZnO SI (reduced 150C),Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,8.7,48,4.176,,,,
5% Pd/ZnO SI (reduced 250C pre-treat),Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,7.9,58,4.582,,,,
5% Pd/ZnO SI (reduced 550C),Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,6.3,64,4.032,,,,
5% Pd/ZnO SI (reduced 700C),Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,5.6,72,4.032,,,,
5% Pd/ZnO SI (Temp Study),Yes,PdCl2,Pd,5,,,ZnO,95,,,423.15,20,3,3.6,0.5,1,1,0.01,,,,
5% Pd/ZnO SI (Temp Study),Yes,PdCl2,Pd,5,,,ZnO,95,,,453.15,20,3,3.6,0.5,1,3,0.03,,,,
5% Pd/ZnO SI (Temp Study),Yes,PdCl2,Pd,5,,,ZnO,95,,,473.15,20,3,3.6,0.5,2,21,0.42,,,,
5% Pd/ZnO SI (Temp Study),Yes,PdCl2,Pd,5,,,ZnO,95,,,498.15,20,3,3.6,0.5,5,27,1.35,,,,
5% Pd/ZnO SI (Temp Study),Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,10.7,50,5.35,,,,
5% Pd/ZnO SI (Temp Study),Yes,PdCl2,Pd,5,,,ZnO,95,,,548.15,20,3,3.6,0.5,12,51,6.12,,,,
5% Pd/ZnO SI (Temp Study),Yes,PdCl2,Pd,5,,,ZnO,95,,,573.15,20,3,3.6,0.5,12,24,2.88,,,,
5% Pd/ZnO SI (PdZn Phase Study 150C),Yes,PdCl2,Pd,5,,,ZnO,95,,,423.15,20,3,3.6,0.5,1,92,0.92,,,,
5% Pd/ZnO SI (PdZn Phase Study 150C),Yes,PdCl2,Pd,5,,,ZnO,95,,,453.15,20,3,3.6,0.5,1,90,0.9,,,,
5% Pd/ZnO SI (PdZn Phase Study 150C),Yes,PdCl2,Pd,5,,,ZnO,95,,,473.15,20,3,3.6,0.5,4,85,3.4,,,,
5% Pd/ZnO SI (PdZn Phase Study 150C),Yes,PdCl2,Pd,5,,,ZnO,95,,,498.15,20,3,3.6,0.5,7,84,5.88,,,,
5% Pd/ZnO SI (PdZn Phase Study 150C),Yes,PdCl2,Pd,5,,,ZnO,95,,,523.15,20,3,3.6,0.5,11,61,6.71,,,,
5% Pd/ZnO SI (PdZn Phase Study 150C),Yes,PdCl2,Pd,5,,,ZnO,95,,,548.15,20,3,3.6,0.5,13,33,4.29,,,,
5% Pd/ZnO SI (PdZn Phase Study 150C),Yes,PdCl2,Pd,5,,,ZnO,95,,,573.15,20,3,3.6,0.5,14,31,4.34,,,,
