catalyst_name,catalyst_composition_available,starting_material_active_1,active_comp_1,active_1_percent,starting_material_2,active_comp_2,active_2_percent,support_comp_1,support_1_percent,support_comp_2,support_2_percent,catalyst_surface_area_m2_g,mean_pore_diameter_nm,temperature_k,pressure_bar,pH2_pCO2_ratio,GHSV_nlph_gcat,catalyst_load_g,CO2_conversion,selectivity_CH3OH,yield_CH3OH,STY_g_per_gcath
Cat-1.5,Yes,Indium nitrate,In2O3,9.8,,,Al2O3,Al-fiber,,27.2,6.8,523.15,40,3,27.6,0.5,0.4,92.5,0.37,,,
Cat-1.5,Yes,Indium nitrate,In2O3,9.8,,,Al2O3,Al-fiber,,27.2,6.8,548.15,40,3,27.6,0.5,0.8,91,0.728,,,
Cat-1.5,Yes,Indium nitrate,In2O3,9.8,,,Al2O3,Al-fiber,,27.2,6.8,573.15,40,3,27.6,0.5,1.3,87,1.131,,,
Cat-1.5,Yes,Indium nitrate,In2O3,9.8,,,Al2O3,Al-fiber,,27.2,6.8,598.15,40,3,27.6,0.5,3,66,1.98,0.14,,
Cat-1.5,Yes,Indium nitrate,In2O3,9.8,,,Al2O3,Al-fiber,,27.2,6.8,623.15,40,3,27.6,0.5,3.3,58,1.914,,,
Cat-3.0,Yes,Indium nitrate,In2O3,12.3,,,Al2O3,Al-fiber,,30.4,5.8,523.15,40,3,27.6,0.5,0.6,93,0.558,,,
Cat-3.0,Yes,Indium nitrate,In2O3,12.3,,,Al2O3,Al-fiber,,30.4,5.8,548.15,40,3,27.6,0.5,0.9,91.5,0.8235,,,
Cat-3.0,Yes,Indium nitrate,In2O3,12.3,,,Al2O3,Al-fiber,,30.4,5.8,573.15,40,3,27.6,0.5,1.6,88,1.408,,,
Cat-3.0,Yes,Indium nitrate,In2O3,12.3,,,Al2O3,Al-fiber,,30.4,5.8,598.15,40,3,27.6,0.5,3.4,70,2.38,0.16,,
Cat-3.0,Yes,Indium nitrate,In2O3,12.3,,,Al2O3,Al-fiber,,30.4,5.8,623.15,40,3,27.6,0.5,4.4,60,2.64,,,
Cat-4.5,Yes,Indium nitrate,In2O3,16.4,,,Al2O3,Al-fiber,,36.8,7.1,523.15,40,3,27.6,0.5,1.1,94,1.034,,,
Cat-4.5,Yes,Indium nitrate,In2O3,16.4,,,Al2O3,Al-fiber,,36.8,7.1,548.15,40,3,27.6,0.5,1.5,92,1.38,,,
Cat-4.5,Yes,Indium nitrate,In2O3,16.4,,,Al2O3,Al-fiber,,36.8,7.1,573.15,40,3,27.6,0.5,2.7,89,2.403,,,
Cat-4.5,Yes,Indium nitrate,In2O3,16.4,,,Al2O3,Al-fiber,,36.8,7.1,598.15,40,3,27.6,0.5,4.4,67.6,2.9744,0.2,,
Cat-4.5,Yes,Indium nitrate,In2O3,16.4,,,Al2O3,Al-fiber,,36.8,7.1,623.15,40,3,27.6,0.5,4.9,58,2.842,,,
Cat-6.0,Yes,Indium nitrate,In2O3,6.2,,,Al2O3,Al-fiber,,19.4,7.2,523.15,40,3,27.6,0.5,0.3,90,0.27,,,
Cat-6.0,Yes,Indium nitrate,In2O3,6.2,,,Al2O3,Al-fiber,,19.4,7.2,548.15,40,3,27.6,0.5,0.5,88,0.44,,,
Cat-6.0,Yes,Indium nitrate,In2O3,6.2,,,Al2O3,Al-fiber,,19.4,7.2,573.15,40,3,27.6,0.5,0.8,80,0.64,,,
Cat-6.0,Yes,Indium nitrate,In2O3,6.2,,,Al2O3,Al-fiber,,19.4,7.2,598.15,40,3,27.6,0.5,2.7,60,1.62,0.11,,
Cat-6.0,Yes,Indium nitrate,In2O3,6.2,,,Al2O3,Al-fiber,,19.4,7.2,623.15,40,3,27.6,0.5,3.3,53,1.749,,,
In2O3-IWI/Al2O3/Al-fiber,Yes,Indium nitrate,In2O3,14.6,,,Al2O3,Al-fiber,,,,598.15,40,3,27.6,0.5,4.3,36.8,1.5824,,,
