catalyst_name,catalyst_composition_available,starting_material_active_1,active_comp_1,active_1_percent,starting_material_2,active_comp_2,active_2_percent,support_comp_1,support_1_percent,support_comp_2,support_2_percent,catalyst_surface_area_m2_g,mean_pore_diameter_nm,temperature_k,pressure_bar,pH2_pCO2_ratio,GHSV_nlph_gcat,catalyst_load_g,CO2_conversion,selectivity_CH3OH,yield_CH3OH,STY_g_per_gcath
In0.1/ZrO2,Yes,In(NO3)3*xH2O,In,0.1,,,ZrO2,99.9,,,523.15,50,4,24000,0.15,,23,,,,,
In0.1/ZrO2,Yes,In(NO3)3*xH2O,In,0.1,,,ZrO2,99.9,,,533.15,50,4,24000,0.15,,24,,,,,
In0.1/ZrO2,Yes,In(NO3)3*xH2O,In,0.1,,,ZrO2,99.9,,,543.15,50,4,24000,0.15,,21.5,,,,,
In0.1/ZrO2,Yes,In(NO3)3*xH2O,In,0.1,,,ZrO2,99.9,,,553.15,50,4,24000,0.15,,21.5,,,,,
In0.1/ZrO2,Yes,In(NO3)3*xH2O,In,0.1,,,ZrO2,99.9,,,563.15,50,4,24000,0.15,,21,,,,,
In0.25/ZrO2,Yes,In(NO3)3*xH2O,In,0.25,,,ZrO2,99.75,,,553.15,50,4,24000,0.15,,34,,0.017,,,
In0.5/ZrO2,Yes,In(NO3)3*xH2O,In,0.5,,,ZrO2,99.5,,,523.15,50,4,24000,0.15,,50,,,,,
In0.5/ZrO2,Yes,In(NO3)3*xH2O,In,0.5,,,ZrO2,99.5,,,533.15,50,4,24000,0.15,,47,,,,,
In0.5/ZrO2,Yes,In(NO3)3*xH2O,In,0.5,,,ZrO2,99.5,,,543.15,50,4,24000,0.15,,44,,,,,
In0.5/ZrO2,Yes,In(NO3)3*xH2O,In,0.5,,,ZrO2,99.5,,,553.15,50,4,24000,0.15,,39,,0.038,,,
In0.5/ZrO2,Yes,In(NO3)3*xH2O,In,0.5,,,ZrO2,99.5,,,563.15,50,4,24000,0.15,,33,,,,,
In1/ZrO2,Yes,In(NO3)3*xH2O,In,1,,,ZrO2,99,,,523.15,50,4,24000,0.15,,64,,,,,
In1/ZrO2,Yes,In(NO3)3*xH2O,In,1,,,ZrO2,99,,,533.15,50,4,24000,0.15,,58.5,,,,,
In1/ZrO2,Yes,In(NO3)3*xH2O,In,1,,,ZrO2,99,,,543.15,50,4,24000,0.15,,56,,,,,
In1/ZrO2,Yes,In(NO3)3*xH2O,In,1,,,ZrO2,99,,,553.15,50,4,24000,0.15,,50,,0.051,,,
In1/ZrO2,Yes,In(NO3)3*xH2O,In,1,,,ZrO2,99,,,563.15,50,4,24000,0.15,,43,,,,,
In2.5/ZrO2,Yes,In(NO3)3*xH2O,In,2.5,,,ZrO2,97.5,,,523.15,50,4,24000,0.15,,74,,,,,
In2.5/ZrO2,Yes,In(NO3)3*xH2O,In,2.5,,,ZrO2,97.5,,,533.15,50,4,24000,0.15,,72,,,,,
In2.5/ZrO2,Yes,In(NO3)3*xH2O,In,2.5,,,ZrO2,97.5,,,543.15,50,4,24000,0.15,,67,,,,,
In2.5/ZrO2,Yes,In(NO3)3*xH2O,In,2.5,,,ZrO2,97.5,,,553.15,50,4,24000,0.15,,60,,0.072,,,
In2.5/ZrO2,Yes,In(NO3)3*xH2O,In,2.5,,,ZrO2,97.5,,,563.15,50,4,24000,0.15,,51,,,,,
In5/ZrO2,Yes,In(NO3)3*xH2O,In,5,,,ZrO2,95,,,523.15,50,4,24000,0.15,,78,,,,,
In5/ZrO2,Yes,In(NO3)3*xH2O,In,5,,,ZrO2,95,,,533.15,50,4,24000,0.15,,76,,,,,
In5/ZrO2,Yes,In(NO3)3*xH2O,In,5,,,ZrO2,95,,,543.15,50,4,24000,0.15,,73,,,,,
In5/ZrO2,Yes,In(NO3)3*xH2O,In,5,,,ZrO2,95,,,553.15,50,4,24000,0.15,,68.5,,0.064,,,
In5/ZrO2,Yes,In(NO3)3*xH2O,In,5,,,ZrO2,95,,,563.15,50,4,24000,0.15,,62,,,,,
In10/ZrO2,Yes,In(NO3)3*xH2O,In,10,,,ZrO2,90,,,523.15,50,4,24000,0.15,,76,,,,,
In10/ZrO2,Yes,In(NO3)3*xH2O,In,10,,,ZrO2,90,,,533.15,50,4,24000,0.15,,74,,,,,
In10/ZrO2,Yes,In(NO3)3*xH2O,In,10,,,ZrO2,90,,,543.15,50,4,24000,0.15,,71,,,,,
In10/ZrO2,Yes,In(NO3)3*xH2O,In,10,,,ZrO2,90,,,553.15,50,4,24000,0.15,,66.5,,,,,
In10/ZrO2,Yes,In(NO3)3*xH2O,In,10,,,ZrO2,90,,,563.15,50,4,24000,0.15,,61.5,,,,,
In2O3-bulk,Yes,In2O3,In,100,,,,,,,,,523.15,50,4,24000,0.05,,70,,,
In2O3-bulk,Yes,In2O3,In,100,,,,,,,,,533.15,50,4,24000,0.05,,67,,,
In2O3-bulk,Yes,In2O3,In,100,,,,,,,,,543.15,50,4,24000,0.05,,63.5,,,
In2O3-bulk,Yes,In2O3,In,100,,,,,,,,,553.15,50,4,24000,0.05,,61,,,
In2O3-bulk,Yes,In2O3,In,100,,,,,,,,,563.15,50,4,24000,0.05,,56,,,
ZrO2,Yes,,,0,,,ZrO2,100,,,523.15-573.15,50,4,24000,0.15,0,0,0,0,,,
