catalyst_name,catalyst_composition_available,starting_material_active_1,active_comp_1,active_1_percent,starting_material_2,active_comp_2,active_2_percent,support_comp_1,support_1_percent,support_comp_2,support_2_percent,catalyst_surface_area_m2_g,mean_pore_diameter_nm,temperature_k,pressure_bar,pH2_pCO2_ratio,GHSV_nlph_gcat,catalyst_load_g,CO2_conversion,selectivity_CH3OH,yield_CH3OH,STY_g_per_gcath
Cu/Mg/Al pH-3,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,98,,473.15,20,2.8,2000,,3,30,0.9,6.9
Cu/Mg/Al pH-3,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,98,,523.15,20,2.8,2000,,9.5,,,
Cu/Mg/Al pH-3,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,98,,573.15,20,2.8,2000,,14.5,,,
Cu/Mg/Al pH-3,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,98,,623.15,20,2.8,2000,,19.8,,,
Cu/Mg/Al pH-3,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,98,,673.15,20,2.8,2000,,24.5,,,
Cu/Mg/Al pH-5,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,65,,473.15,20,2.8,2000,,1.5,33,0.495,4.3
Cu/Mg/Al pH-5,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,65,,523.15,20,2.8,2000,,11.5,,,
Cu/Mg/Al pH-5,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,65,,573.15,20,2.8,2000,,19.8,,,
Cu/Mg/Al pH-5,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,65,,623.15,20,2.8,2000,,26.5,,,
Cu/Mg/Al pH-5,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,65,,673.15,20,2.8,2000,,32.8,,,
Cu/Mg/Al pH-7,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,59,,473.15,20,2.8,2000,,2.9,32,0.928,7
Cu/Mg/Al pH-7,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,59,,523.15,20,2.8,2000,,12,,,
Cu/Mg/Al pH-7,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,59,,573.15,20,2.8,2000,,19.9,,,
Cu/Mg/Al pH-7,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,59,,623.15,20,2.8,2000,,27.1,,,
