catalyst_name,catalyst_composition_available,starting_material_active_1,active_comp_1,active_1_percent,starting_material_2,active_comp_2,active_2_percent,support_comp_1,support_1_percent,support_comp_2,support_2_percent,catalyst_surface_area_m2_g,mean_pore_diameter_nm,temperature_k,pressure_bar,pH2_pCO2_ratio,GHSV_nlph_gcat,catalyst_load_g,CO2_conversion,selectivity_CH3OH,yield_CH3OH,STY_g_per_gcath
In2O3-300,Yes,In(NO3)3*xH2O,In,100,,,,,,,,,,573.15,40,3,12000,0.3,5.5,47,2.585,
Ir0.16-In2O3-300,Yes,H2IrCl6,Ir,0.16,In(NO3)3*xH2O,In,99.84,In2O3,100,,,,,573.15,40,3,12000,0.3,7.4,51,3.774,0.146
In2O3-350,Yes,In(NO3)3*xH2O,In,100,,,,,,,,,,573.15,40,3,12000,0.3,4.4,52,2.288,
Ir0.16-In2O3-350,Yes,H2IrCl6,Ir,0.16,In(NO3)3*xH2O,In,99.84,In2O3,100,,,,,573.15,40,3,12000,0.3,6.5,56,3.64,
In2O3-400,Yes,In(NO3)3*xH2O,In,100,,,,,,,,,,573.15,40,3,12000,0.3,3.3,55,1.815,
Ir0.16-In2O3-400,Yes,H2IrCl6,Ir,0.16,In(NO3)3*xH2O,In,99.84,In2O3,100,,,,,573.15,40,3,12000,0.3,5,61,3.05,0.119
Ir0.08-In2O3,Yes,H2IrCl6,Ir,0.08,In(NO3)3*xH2O,In,99.92,In2O3,100,,,,,513.15,40,3,12000,0.3,1.5,82,1.23,
Ir0.08-In2O3,Yes,H2IrCl6,Ir,0.08,In(NO3)3*xH2O,In,99.92,In2O3,100,,,,,533.15,40,3,12000,0.3,2.5,73,1.825,
Ir0.08-In2O3,Yes,H2IrCl6,Ir,0.08,In(NO3)3*xH2O,In,99.92,In2O3,100,,,,,553.15,40,3,12000,0.3,4.5,67,3.015,
Ir0.08-In2O3,Yes,H2IrCl6,Ir,0.08,In(NO3)3*xH2O,In,99.92,In2O3,100,,,,,573.15,40,3,12000,0.3,6.5,58,3.77,
Ir0.16-In2O3,Yes,H2IrCl6,Ir,0.16,In(NO3)3*xH2O,In,99.84,In2O3,100,,,,,513.15,40,3,12000,0.3,1.3,69,0.897,
Ir0.16-In2O3,Yes,H2IrCl6,Ir,0.16,In(NO3)3*xH2O,In,99.84,In2O3,100,,,,,533.15,40,3,12000,0.3,2.6,71,1.846,
Ir0.16-In2O3,Yes,H2IrCl6,Ir,0.16,In(NO3)3*xH2O,In,99.84,In2O3,100,,,,,553.15,40,3,12000,0.3,4.9,64,3.136,
Ir0.16-In2O3,Yes,H2IrCl6,Ir,0.16,In(NO3)3*xH2O,In,99.84,In2O3,100,,,,,573.15,40,3,12000,0.3,7.4,51,3.774,0.146
Ir0.32-In2O3,Yes,H2IrCl6,Ir,0.32,In(NO3)3*xH2O,In,99.68,In2O3,100,,,,,513.15,40,3,12000,0.3,1.5,81,1.215,
Ir0.32-In2O3,Yes,H2IrCl6,Ir,0.32,In(NO3)3*xH2O,In,99.68,In2O3,100,,,,,533.15,40,3,12000,0.3,2.7,73,1.971,
Ir0.32-In2O3,Yes,H2IrCl6,Ir,0.32,In(NO3)3*xH2O,In,99.68,In2O3,100,,,,,553.15,40,3,12000,0.3,5.3,68,3.604,
Ir0.32-In2O3,Yes,H2IrCl6,Ir,0.32,In(NO3)3*xH2O,In,99.68,In2O3,100,,,,,573.15,40,3,12000,0.3,7.9,56,4.424,
