catalyst_name,catalyst_composition_available,starting_material_active_1,active_comp_1,active_1_percent,starting_material_2,active_comp_2,active_2_percent,support_comp_1,support_1_percent,support_comp_2,support_2_percent,catalyst_surface_area_m2_g,mean_pore_diameter_nm,temperature_k,pressure_bar,pH2_pCO2_ratio,GHSV_nlph_gcat,catalyst_load_g,CO2_conversion,selectivity_CH3OH,yield_CH3OH,STY_g_per_gcath
1InNi3C0.5/Fe3O4-400/425,Yes,In(NO3)3·4H2O,In,1,Ni(NO3)2·6H2O,Ni,,Fe3O4,99,,,,,,523.15,40,5,12000,0.5,4.3,92,3.956
3InNi3C0.5/Fe3O4-400/425,Yes,In(NO3)3·4H2O,In,3,Ni(NO3)2·6H2O,Ni,,Fe3O4,97,,,,,,523.15,40,5,12000,0.5,11.8,94,11.092
5InNi3C0.5/Fe3O4-300/425,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,,,,523.15,40,5,12000,0.5,6.5,97,6.305
5InNi3C0.5/Fe3O4-350/425,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,,,,523.15,40,5,12000,0.5,8.8,97,8.536
5InNi3C0.5/Fe3O4-400/375,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,,,,523.15,40,5,12000,0.5,8.5,96,8.16
5InNi3C0.5/Fe3O4-400/400,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,,,,523.15,40,5,12000,0.5,9.8,96,9.408
5InNi3C0.5/Fe3O4-400/425,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,9.6,15,523.15,40,5,12000,0.5,12.3,95.6,11.7588,0.33
5InNi3C0.5/Fe3O4-400/425,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,9.6,15,473.15,40,5,12000,0.5,6.8,99.8,6.7864,
5InNi3C0.5/Fe3O4-400/425,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,9.6,15,523.15,60,10,115500,0.5,18.1,97,17.557,2.62
5InNi3C0.5/Fe3O4-400/425,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,9.6,15,493.15,40,5,12000,0.5,8.2,98,8.036,0.24
5InNi3C0.5/Fe3O4-400/425,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,9.6,15,513.15,40,5,12000,0.5,10,95,9.5,0.27
5InNi3C0.5/Fe3O4-400/425,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,9.6,15,533.15,40,5,12000,0.5,13.4,93,12.462,0.35
5InNi3C0.5/Fe3O4-400/425,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,9.6,15,523.15,10,5,12000,0.5,4.5,93,4.185,0.17
5InNi3C0.5/Fe3O4-400/425,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,9.6,15,523.15,20,5,12000,0.5,7.2,95,6.84,0.19
5InNi3C0.5/Fe3O4-400/425,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,9.6,15,523.15,30,5,12000,0.5,10.2,95,9.69,0.26
5InNi3C0.5/Fe3O4-400/425,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,9.6,15,523.15,60,5,12000,0.5,13.5,96.7,13.0545,0.37
5InNi3C0.5/Fe3O4-400/425,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,9.6,15,523.15,40,5,24000,0.5,9.8,97,9.506,0.52
5InNi3C0.5/Fe3O4-400/425,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,9.6,15,523.15,40,5,36000,0.5,8.3,97.5,8.0925,0.65
5InNi3C0.5/Fe3O4-400/425,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,9.6,15,523.15,40,5,48000,0.5,7,98,6.86,0.79
5InNi3C0.5/Fe3O4-400/450,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,,,,523.15,40,5,12000,0.5,10,95,9.5
5InNi3C0.5/Fe3O4-400/475,Yes,In(NO3)3·4H2O,In,5,Ni(NO3)2·6H2O,Ni,8.3,Fe3O4,86.7,,,,,,523.15,40,5,12000,0.5,8.8,96,8.448
