catalyst_name,catalyst_composition_available,starting_material_active_1,active_comp_1,active_1_percent,starting_material_2,active_comp_2,active_2_percent,support_comp_1,support_1_percent,support_comp_2,support_2_percent,catalyst_surface_area_m2_g,mean_pore_diameter_nm,temperature_k,pressure_bar,pH2_pCO2_ratio,GHSV_nlph_gcat,catalyst_load_g,CO2_conversion,selectivity_CH3OH,yield_CH3OH,STY_g_per_gcath
10% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,10,Zr(NO3)4.5H2O,Zr,90,,,,,,,593.15,50,3,24,0.1,8.9,83.1,7.3959,0.5911
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,,,,,,,593.15,50,3,24,0.1,10,86,8.6,0.596
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,473.15,50,3,24,0.1,0.1,100,0.1,0.008,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,493.15,50,3,24,0.1,0.3,98.8,0.2964,0.0237,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,513.15,50,3,24,0.1,0.7,96.9,0.6783,0.0542,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,533.15,50,3,24,0.1,0.9,94.5,0.8505,0.068,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,553.15,50,3,24,0.1,2.6,91.8,2.3868,0.1908,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,573.15,50,3,24,0.1,5.3,90.2,4.7806,0.3821,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,603.15,50,3,24,0.1,11,81.1,8.921,0.713,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,613.15,50,3,24,0.1,12.3,75,9.225,0.7373,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,633.15,50,3,24,0.1,14.8,53,7.844,0.6269,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,653.15,50,3,24,0.1,17.2,24.9,4.2828,0.3423,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,473.15,50,4,24,0.1,0.3,100,0.3,0.0192,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,493.15,50,4,24,0.1,0.7,100,0.7,0.0448,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,513.15,50,4,24,0.1,1.3,99.1,1.2883,0.0824,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,533.15,50,4,24,0.1,2.3,96.9,2.2287,0.1425,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,553.15,50,4,24,0.1,5.4,96,5.184,0.3314,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,573.15,50,4,24,0.1,7.5,93,6.975,0.446,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,588.15,50,4,24,0.1,10,91.1,9.11,0.5825,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,603.15,50,4,24,0.1,12.6,88.1,11.1006,0.7097,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,613.15,50,4,24,0.1,14.2,80.2,11.3884,0.7281,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,633.15,50,4,24,0.1,16.8,60,10.08,0.6445,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,653.15,50,4,24,0.1,18.8,36.2,6.8056,0.4351,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,603.15,10,3,24,0.1,4,63.8,2.552,0.204,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,603.15,20,3,24,0.1,6.2,74,4.588,0.3667,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,603.15,30,3,24,0.1,8.1,78.7,6.3747,0.5095,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,603.15,40,3,24,0.1,9.6,81,7.776,0.6215,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,603.15,20,2,24,0.1,4.6,72.1,3.3166,0.3534,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,603.15,20,4,24,0.1,7.5,77,5.775,0.3692,
13% ZnO-ZrO2,Yes,Zn(NO3)2.6H2O,Zn,13,Zr(NO3)4.5H2O,Zr,87,44.3,,,,,603.15,20,3,6,0.1,8.9,44.7,3.9783,0.0795,
